#,Open (Date & Time),Close  (Date & Time),Ticker,Strike,Type,"Dir (note: Long Put = ""Short"")",Entry,Exit,PnL_$,PnL_%,Overnight
1,2026-01-13 15:00 ET,2026-01-13 16:35 ET,PYPL,59,Put,Long,2.61,2.69,8,3,No
2,2026-01-13 10:15 ET,2026-01-13 12:15 ET,GOOGL,337.5,Call,Long,4.35,5.3,95,22,No
3,2026-01-13 14:10 ET,2026-01-14 09:43 ET,SYF,77.5,Put,Long,0.95,2.05,110,116,Yes
4,2026-01-14 11:09 ET,2026-01-14 11:19 ET,MRNA,41,Call,Long,1.6,1.19,-41,-26,No
5,2026-01-14 11:13 ET,2026-01-14 12:02 ET,AVGO,335,Put,Long,4.95,5.15,20,4,No
6,2026-01-14 15:09 ET,2026-01-14 15:33 ET,ABNB,305,Put,Long,3.15,4.43,128,41,No
7,2026-01-15 10:32 ET,2026-01-15 10:53 ET,BA,245,Call,Long,5.9,4.4,-150,-25,No
8,2026-01-15 15:20 ET,2026-01-15 15:31 ET,HOOD,115,Put,Long,3.05,5.3,225,74,No
9,2026-01-15 17:32 ET,2026-01-15 20:06 ET,ADBE,305,Put,Long,3.9,3.2,-70,-18,No
10,2026-01-15 15:18 ET,2026-01-16 15:29 ET,HOOD,114,Put,Long,5.22,6.75,153,29,Yes
